num_consumers,num_goods,type_market,noise_scale,target_eps,final_epsilon,total_num_samples,total_pruned_0,total_pruned_1,total_pruned_2
5,10,uniform_random_distribution,1.0,0.075,0.05610751413708265,3083369,38,3,2
5,10,uniform_random_distribution,1.0,0.075,0.056170581136172945,3231963,38,3,1
5,10,uniform_random_distribution,1.0,0.075,0.056170581136172945,3194814,39,2,1
5,10,uniform_random_distribution,1.0,0.075,0.05629331391199429,3937787,33,5,2
5,10,uniform_random_distribution,1.0,0.075,0.056170581136172945,3120517,39,3,0
5,10,uniform_random_distribution,1.0,0.075,0.05610751413708265,2860477,40,3,0
5,10,uniform_random_distribution,1.0,0.075,0.05623250108521926,3529151,38,1,2
5,10,uniform_random_distribution,1.0,0.075,0.05623250108521926,3306259,40,1,0
5,10,uniform_random_distribution,1.0,0.075,0.056170581136172945,3120517,39,3,0
5,10,uniform_random_distribution,1.0,0.075,0.05623250108521926,3752043,36,1,4
5,10,uniform_random_distribution,1.0,0.075,0.05629331391199429,3900638,34,4,2
5,10,uniform_random_distribution,1.0,0.075,0.056170581136172945,3046219,41,1,0
5,10,uniform_random_distribution,1.0,0.075,0.056170581136172945,3454855,36,3,3
5,10,uniform_random_distribution,1.0,0.075,0.05610751413708265,3529154,32,6,5
5,10,uniform_random_distribution,1.0,0.05,0.03736219992677275,6018048,39,5,0
5,10,uniform_random_distribution,1.0,0.05,0.03752890400356476,8274816,38,1,1
5,10,uniform_random_distribution,1.0,0.05,0.03736219992677275,5934464,42,1,1
5,10,uniform_random_distribution,1.0,0.05,0.03731854006196978,5098624,44,1,0
5,10,uniform_random_distribution,1.0,0.05,0.03731854006196978,5098624,44,1,0
5,10,uniform_random_distribution,1.0,0.05,0.03740503739433575,6185216,43,0,0
5,10,uniform_random_distribution,1.0,0.05,0.03744708209183486,6770304,42,0,0
5,10,uniform_random_distribution,1.0,0.05,0.03736219992677275,6185216,41,1,2
5,10,uniform_random_distribution,1.0,0.05,0.03740503739433575,6185216,43,0,0
5,10,uniform_random_distribution,1.0,0.05,0.03731854006196978,5182208,43,2,0
5,10,uniform_random_distribution,1.0,0.05,0.03736219992677275,6268800,40,2,2
